source_key,content_hash,bytes
b370df104d9ace12,e8aa2b3d96b590010cc01808eac5ed3e,12601
e7020624e9836125,1b39236eadc1984766df5976a90e9c2c,2525
87acef78122c6ad0,5b10c0147133ce8c7670d2f06190399f,891
6e0745d6ff3e2bf5,a87207f356e9f74ba279733441c2d8d7,6365
272fc3b9a1f25e35,31543f72ffd50a2e64ad0138eeb02574,1372
767a50df0fafb0d4,fa0dd3e0193c24973ee82539dfadcd59,2715
d362bc78bcb8dee2,c1cac2733250b3b5b796688a47e2519f,619
eb444855627f0945,f515c72fd9b9c3a98c951d30baff7841,8719
7f5632b87b77a079,5f171b375358ec16dda753b81e95cceb,6840
24508f0a86816219,1ec3e4e29933cba413e8425a1557ed60,11507
1c68dc947ca6c481,0acbeed5a128e3a795a89efe3fa89854,11404
2fe7cf7aeb6dcf67,02b527d6b3509e1badd4fca6eb8fa8c8,6405
a9bfa5bd2b10f29b,cac38c657018afccf622ee5944608432,1050
659559366b7d131e,566a38dc6ce8c9d687b830e6fdbf3a1d,822
d48e8c0e3f0c0a57,9344d08e3e1301bd459bed9fb94c0f86,5976
6a0e90aa6b58dfd7,261a2f71f56327dd5f8c2fbdbe757dc4,6416
f3dd7dc1e50ac832,c208dc42774adf98610edde5f51fdad9,763
24aa6652c0d109b3,b1fc258bf064900266227a91ccd7f188,612
175920cb3fb1627d,41ba4c5f65255096b0a24143c6f2ce25,6402
23933dc64bf019b0,93e9d38540db26cd0feeda665d9b2735,4367
88a935c65fb58aa9,b54c8651911344a1eae7775e1f3008d0,528
57c2c01a9a85f830,1bc9242535ac764f74c57be778fd1abe,5286
403941518cb733d1,2d1e74a18d19d5afde7023f859e51bb4,9042
d8ea2c3972cc6b8f,20d06ef22dc6be9fb90932dc5f9871b6,7821
3aaa865d8902c8a3,3cec52b0001606f8548ef2c9b0188f60,760
0c0414f4c8f3779d,abef19b465dc7edb188004f90fb4b0fe,7630
3f546e96a5a6128b,6dbab527b873980199da74560c368c38,6843
c09eaaad629e9a51,50383358443828b4b78b2867d038fdfb,9448
716dcaf690fec8dd,c2c86ab16b003a0ba0436498460b547a,10206
988c1be664c02769,ef38303fbfb58f199ea03dee8aae3bb3,1818
aab42ecb068dc9a7,8fd0441848384fdaf6cf5dc9697b2169,4106
2a3f246532d49242,11b3007dcd349870a35a92ba259a4325,9124
5c291f10444c9f10,bd095c43f757ee163901e687ea1360b7,4819
a58a75b4c93053c8,1e12656c2afcfc8733b636c09f9edb25,1394
84f9df8ec65e0e4a,9b431c2b2657594a90752ce92a01c5ba,439
e0f733c3c5ddcb35,d90302b5acc7880e02ea81eedfa878fb,3798
37f3f5fc4093569a,cfb25f401ff1a809da8d771fca6306f1,6502
456f41a485631e70,071f10aacad1ae38ea7a7d7bdccd5f88,9390
f5c67fcb72653a17,adc721afd47b4197afae846b3f61f7f5,500000
444aaf858d40cc70,c6965ef0287f01caee4d7e756161b835,4746
4d46b94f77d4538d,de4243f7e2d0c1effe87e9a61b17bfdc,5605
c5629e584980d522,440eecc609931c677b617f6683ca58d8,5998
59018f57de1b6182,759ec549fb2e2e34c3527d43447e9faf,1388
574617bb06be9961,45db60d8c5cb57348d460452ec3765a0,1316
